prefecture-level city,Prefecture level city code,year,province,Local general public budget expenditures_Ten thousand yuan_Citywide,Education expenditure_Ten thousand yuan_Citywide,education level spending
Liaoyuan City,220400,2021,Jilin Province,1020318,153006,0.14995913
Tonghua City,220500,2003,Jilin Province,215658,34874,0.16170974
Tonghua City,220500,2004,Jilin Province,266754,39461,0.1479303
Tonghua City,220500,2005,Jilin Province,330444,42319,0.12806709
Tonghua City,220500,2006,Jilin Province,416887,59238,0.14209606
Tonghua City,220500,2007,Jilin Province,439889,90985,0.20683627
Tonghua City,220500,2008,Jilin Province,698841,120070,0.17181304
Tonghua City,220500,2009,Jilin Province,933776,159430,0.17073688
Tonghua City,220500,2010,Jilin Province,1199057,159766,0.13324304
Tonghua City,220500,2011,Jilin Province,1406310,195035,0.13868564
Tonghua City,220500,2012,Jilin Province,1761474,313500,0.17797595
Tonghua City,220500,2013,Jilin Province,2006417,290927,0.14499827
Tonghua City,220500,2014,Jilin Province,2086990,292461,0.14013531
Tonghua City,220500,2015,Jilin Province,2302612,348004,0.15113445
Tonghua City,220500,2016,Jilin Province,2588675,361711,0.13972824
Tonghua City,220500,2017,Jilin Province,2545814,348455,0.13687371
Tonghua City,220500,2018,Jilin Province,2485978,304060,0.12231001
Tonghua City,220500,2019,Jilin Province,2672969,313956,0.11745591
Tonghua City,220500,2020,Jilin Province,2843932,383299,0.13477784
Tonghua City,220500,2021,Jilin Province,2376012,360485,0.15171851
Baishan City,220600,2003,Jilin Province,142684,20426,0.1431555
Baishan City,220600,2004,Jilin Province,208121,24575,0.11808035
Baishan City,220600,2005,Jilin Province,291831,34118,0.11691013
Baishan City,220600,2006,Jilin Province,346248,45340,0.1309466
Baishan City,220600,2007,Jilin Province,419356,71665,0.17089299
Baishan City,220600,2008,Jilin Province,583540,89003,0.15252253
Baishan City,220600,2009,Jilin Province,764146,114794,0.15022522
Baishan City,220600,2010,Jilin Province,1000777,117197,0.11710601
Baishan City,220600,2011,Jilin Province,1273793,148197,0.11634308
Baishan City,220600,2012,Jilin Province,1400929,242013,0.1727518
Baishan City,220600,2013,Jilin Province,1371568,224578,0.16373814
Baishan City,220600,2014,Jilin Province,1381508,206346,0.14936287
Baishan City,220600,2015,Jilin Province,1575478,207268,0.1315588
Baishan City,220600,2016,Jilin Province,1788066,222992,0.12471128
Baishan City,220600,2017,Jilin Province,1863368,215789,0.1158059
Baishan City,220600,2018,Jilin Province,1915758,195476,0.10203585
Baishan City,220600,2019,Jilin Province,2006272,212962,0.10614812
Baishan City,220600,2020,Jilin Province,2030031,222930,0.10981606
Baishan City,220600,2021,Jilin Province,1461677,202640,0.13863528
Songyuan City,220700,2003,Jilin Province,189714,40500,0.21347924
Songyuan City,220700,2004,Jilin Province,233853,47205,0.20185758
Songyuan City,220700,2005,Jilin Province,340981,61686,0.18090744
Songyuan City,220700,2006,Jilin Province,464123,75817,0.1633554
Songyuan City,220700,2007,Jilin Province,552210,118900,0.21531664
Songyuan City,220700,2008,Jilin Province,745625,142390,0.19096731
Songyuan City,220700,2009,Jilin Province,930056,172597,0.185577
Songyuan City,220700,2010,Jilin Province,1042838,167125,0.16025979
Songyuan City,220700,2011,Jilin Province,1222728,198686,0.16249403
Songyuan City,220700,2012,Jilin Province,1425859,291302,0.2042993
Songyuan City,220700,2013,Jilin Province,1601074,275707,0.17220128
Songyuan City,220700,2014,Jilin Province,1718609,289225,0.16829017
Songyuan City,220700,2015,Jilin Province,1829262,325241,0.17779902
Songyuan City,220700,2016,Jilin Province,2235018,351450,0.15724706
Songyuan City,220700,2017,Jilin Province,2729650,367008,0.1344524
Songyuan City,220700,2018,Jilin Province,2676698,353325,0.13200032
Songyuan City,220700,2019,Jilin Province,2696766,366459,0.13588832
Songyuan City,220700,2020,Jilin Province,2974000,363000,0.12205783
Songyuan City,220700,2021,Jilin Province,2415020,322000,0.13333223
Baicheng City,220800,2003,Jilin Province,200405,36993,0.1845912
Baicheng City,220800,2004,Jilin Province,252881,43552,0.1722233
Baicheng City,220800,2005,Jilin Province,315310,50350,0.15968412
Baicheng City,220800,2006,Jilin Province,376249,61414,0.16322701
Baicheng City,220800,2007,Jilin Province,466428,98486,0.21114942
Baicheng City,220800,2008,Jilin Province,604892,116568,0.19270878
Baicheng City,220800,2009,Jilin Province,810816,133329,0.16443805
Baicheng City,220800,2010,Jilin Province,921691,146518,0.15896651
Baicheng City,220800,2011,Jilin Province,1150487,178592,0.15523165
Baicheng City,220800,2012,Jilin Province,1427077,293502,0.20566655
Baicheng City,220800,2013,Jilin Province,1560377,257057,0.16474032
Baicheng City,220800,2014,Jilin Province,1829198,266351,0.14561081
Baicheng City,220800,2015,Jilin Province,2030517,288870,0.14226426
Baicheng City,220800,2016,Jilin Province,2224702,299546,0.13464545
Baicheng City,220800,2017,Jilin Province,2563527,305802,0.11928956
Baicheng City,220800,2018,Jilin Province,2708541,284414,0.10500635
Baicheng City,220800,2019,Jilin Province,2499874,286468,0.11459298
Baicheng City,220800,2020,Jilin Province,2803285,324377,0.11571317
Baicheng City,220800,2021,Jilin Province,2237351,288387,0.12889663
Harbin City,230100,2003,Heilongjiang Province,1215623,225719,0.18568175
Harbin City,230100,2004,Heilongjiang Province,1503562,250090,0.16633168
Harbin City,230100,2005,Heilongjiang Province,1645709,268574,0.16319653
Harbin City,230100,2006,Heilongjiang Province,1946839,332993,0.17104291
Harbin City,230100,2007,Heilongjiang Province,2323833,450634,0.19391841
Harbin City,230100,2008,Heilongjiang Province,3012746,553758,0.18380507
Harbin City,230100,2009,Heilongjiang Province,3484127,640524,0.1838406
Harbin City,230100,2010,Heilongjiang Province,4529706,693036,0.15299801
Harbin City,230100,2011,Heilongjiang Province,5571368,848800,0.15235037
Harbin City,230100,2012,Heilongjiang Province,6435756,1185924,0.18427113
Harbin City,230100,2013,Heilongjiang Province,7097811,1115736,0.15719438
Harbin City,230100,2014,Heilongjiang Province,7400780,1115150,0.15068006
Harbin City,230100,2015,Heilongjiang Province,8248444,1246338,0.15109977
Harbin City,230100,2016,Heilongjiang Province,8762945,1221745,0.13942174
Harbin City,230100,2017,Heilongjiang Province,9584676,1247846,0.13019178
Harbin City,230100,2018,Heilongjiang Province,9621654,1180131,0.12265365
Harbin City,230100,2019,Heilongjiang Province,11011389,1194121,0.10844418
Harbin City,230100,2020,Heilongjiang Province,11622493,1174796,0.10107952
Harbin City,230100,2021,Heilongjiang Province,9920759,1143298,0.115243
Qiqihar City,230200,2003,Heilongjiang Province,299435,97001,0.32394677
Qiqihar City,230200,2004,Heilongjiang Province,389939,108702,0.27876668
Qiqihar City,230200,2005,Heilongjiang Province,566193,127232,0.22471489
Qiqihar City,230200,2006,Heilongjiang Province,714901,150870,0.21103621
Qiqihar City,230200,2007,Heilongjiang Province,928827,210359,0.22647813
Qiqihar City,230200,2008,Heilongjiang Province,1156580,276752,0.23928479
Qiqihar City,230200,2009,Heilongjiang Province,917119,294170,0.32075445
Qiqihar City,230200,2010,Heilongjiang Province,1144298,337536,0.29497211
Qiqihar City,230200,2011,Heilongjiang Province,1367959,390144,0.28520153
Qiqihar City,230200,2012,Heilongjiang Province,2637766,537107,0.20362193
Qiqihar City,230200,2013,Heilongjiang Province,1043247,183312,0.17571294
Qiqihar City,230200,2014,Heilongjiang Province,3136822,493776,0.15741282
Qiqihar City,230200,2015,Heilongjiang Province,3885834,617430,0.15889253
Qiqihar City,230200,2016,Heilongjiang Province,6630353,654378,0.09869429
Qiqihar City,230200,2017,Heilongjiang Province,4639317,658345,0.14190559
Qiqihar City,230200,2018,Heilongjiang Province,4828943,589425,0.12206087
Qiqihar City,230200,2019,Heilongjiang Province,4825811,598905,0.12410453
Qiqihar City,230200,2020,Heilongjiang Province,5289246,593619,0.11223131
Qiqihar City,230200,2021,Heilongjiang Province,5109563,592670,0.11599231
Jixi City,230300,2003,Heilongjiang Province,123882,34148,0.27564941
Jixi City,230300,2004,Heilongjiang Province,140175,38153,0.2721812
Jixi City,230300,2005,Heilongjiang Province,180000,46487,0.25826111
Jixi City,230300,2006,Heilongjiang Province,222899,50236,0.22537562
Jixi City,230300,2007,Heilongjiang Province,274785,77207,0.2809724
Jixi City,230300,2008,Heilongjiang Province,336739,92861,0.2757655
Jixi City,230300,2009,Heilongjiang Province,390008,88316,0.22644664
Jixi City,230300,2010,Heilongjiang Province,473231,109176,0.2307034
Jixi City,230300,2011,Heilongjiang Province,585136,139371,0.23818565
Jixi City,230300,2012,Heilongjiang Province,683722,199509,0.29179842
Jixi City,230300,2013,Heilongjiang Province,774025,151122,0.19524176
Jixi City,230300,2014,Heilongjiang Province,802658,144661,0.18022744
Jixi City,230300,2015,Heilongjiang Province,787165,158134,0.20089054
Jixi City,230300,2016,Heilongjiang Province,1719214,212576,0.1236472
Jixi City,230300,2017,Heilongjiang Province,1844652,183153,0.09928865
Jixi City,230300,2018,Heilongjiang Province,1612540,160099,0.09928374
Jixi City,230300,2019,Heilongjiang Province,1734778,181102,0.10439491
Jixi City,230300,2020,Heilongjiang Province,2153462,177848,0.08258702
Jixi City,230300,2021,Heilongjiang Province,1805532,187852,0.10404247
Hegang City,230400,2003,Heilongjiang Province,109156,23206,0.21259482
Hegang City,230400,2004,Heilongjiang Province,114667,24939,0.21749065
Hegang City,230400,2005,Heilongjiang Province,144546,28392,0.1964219
Hegang City,230400,2006,Heilongjiang Province,201417,35177,0.17464762
Hegang City,230400,2007,Heilongjiang Province,244590,49631,0.20291508
Hegang City,230400,2008,Heilongjiang Province,302472,69280,0.22904599
Hegang City,230400,2009,Heilongjiang Province,411471,73620,0.17891905
Hegang City,230400,2010,Heilongjiang Province,512758,81102,0.15816818
Hegang City,230400,2011,Heilongjiang Province,618066,98132,0.15877269
Hegang City,230400,2012,Heilongjiang Province,797483,146209,0.18333808
Hegang City,230400,2013,Heilongjiang Province,748032,127079,0.16988444
Hegang City,230400,2014,Heilongjiang Province,746562,117541,0.15744305
Hegang City,230400,2015,Heilongjiang Province,898358,127221,0.14161504
Hegang City,230400,2016,Heilongjiang Province,1063289,134133,0.12614915
Hegang City,230400,2017,Heilongjiang Province,1111987,134557,0.12100591
Hegang City,230400,2018,Heilongjiang Province,1156562,147066,0.1271579
Hegang City,230400,2019,Heilongjiang Province,1429543,143543,0.10041181
Hegang City,230400,2020,Heilongjiang Province,1368276,131921,0.09641403
Hegang City,230400,2021,Heilongjiang Province,1212898,132914,0.10958382
Shuangyashan City,230500,2003,Heilongjiang Province,116999,27304,0.23336952
Shuangyashan City,230500,2004,Heilongjiang Province,142707,33231,0.23286174
Shuangyashan City,230500,2005,Heilongjiang Province,185197,39107,0.21116433
Shuangyashan City,230500,2006,Heilongjiang Province,243838,53480,0.21932595
Shuangyashan City,230500,2007,Heilongjiang Province,314192,74380,0.23673423
Shuangyashan City,230500,2008,Heilongjiang Province,417975,92299,0.22082421
Shuangyashan City,230500,2009,Heilongjiang Province,596818,91072,0.15259593
Shuangyashan City,230500,2010,Heilongjiang Province,734134,99959,0.13615907
Shuangyashan City,230500,2011,Heilongjiang Province,818489,137661,0.16818919
Shuangyashan City,230500,2012,Heilongjiang Province,994067,10315,0.01037656
Shuangyashan City,230500,2013,Heilongjiang Province,1028572,176579,0.17167393
Shuangyashan City,230500,2014,Heilongjiang Province,1034518,180289,0.17427343
Shuangyashan City,230500,2015,Heilongjiang Province,1168033,178613,0.15291777
Shuangyashan City,230500,2016,Heilongjiang Province,1344188,187018,0.13913084
Shuangyashan City,230500,2017,Heilongjiang Province,1512444,149681,0.09896631
Shuangyashan City,230500,2018,Heilongjiang Province,1501267,152360,0.10148761
Shuangyashan City,230500,2019,Heilongjiang Province,1750379,157354,0.0898971
Shuangyashan City,230500,2020,Heilongjiang Province,1788158,168322,0.0941315
Shuangyashan City,230500,2021,Heilongjiang Province,1502829,174315,0.11599124
Daqing City,230600,2003,Heilongjiang Province,352136,35947,0.10208272
Daqing City,230600,2004,Heilongjiang Province,501843,40234,0.08017248
Daqing City,230600,2005,Heilongjiang Province,647439,89183,0.13774734
Daqing City,230600,2006,Heilongjiang Province,717561,101124,0.14092739
Daqing City,230600,2007,Heilongjiang Province,867270,194324,0.22406402
Daqing City,230600,2008,Heilongjiang Province,1109235,231329,0.20854823
Daqing City,230600,2009,Heilongjiang Province,1197155,231863,0.19367835
Daqing City,230600,2010,Heilongjiang Province,1311640,234998,0.17916349
Daqing City,230600,2011,Heilongjiang Province,1744915,281899,0.16155457
Daqing City,230600,2012,Heilongjiang Province,1809812,366241,0.20236411
Daqing City,230600,2013,Heilongjiang Province,1850332,365003,0.19726352
Daqing City,230600,2014,Heilongjiang Province,1789269,357130,0.19959548
Daqing City,230600,2015,Heilongjiang Province,1966371,377156,0.19180307
Daqing City,230600,2016,Heilongjiang Province,2635331,431759,0.16383483
Daqing City,230600,2017,Heilongjiang Province,2946439,439536,0.14917533
Daqing City,230600,2018,Heilongjiang Province,3006786,445152,0.14804911
Daqing City,230600,2019,Heilongjiang Province,3159091,447771,0.14174046
Daqing City,230600,2020,Heilongjiang Province,3369001,451340,0.1339685
Daqing City,230600,2021,Heilongjiang Province,3368514,454555,0.13494229
Yichun City,230700,2003,Heilongjiang Province,121021,17348,0.14334702
Yichun City,230700,2004,Heilongjiang Province,152450,18358,0.12041981
Yichun City,230700,2005,Heilongjiang Province,150645,21948,0.14569352
Yichun City,230700,2006,Heilongjiang Province,199110,33049,0.16598363
Yichun City,230700,2007,Heilongjiang Province,285930,34321,0.12003288
Yichun City,230700,2008,Heilongjiang Province,374026,49724,0.13294263
Yichun City,230700,2009,Heilongjiang Province,512960,59050,0.11511619
Yichun City,230700,2010,Heilongjiang Province,637255,72774,0.11419918
Yichun City,230700,2011,Heilongjiang Province,788943,87842,0.11134138
Yichun City,230700,2012,Heilongjiang Province,936280,116705,0.12464754
Yichun City,230700,2013,Heilongjiang Province,995349,104165,0.10465174
Yichun City,230700,2014,Heilongjiang Province,1029241,88660,0.08614115
Yichun City,230700,2015,Heilongjiang Province,1441862,92242,0.06397422
Yichun City,230700,2016,Heilongjiang Province,1269338,73493,0.05789868
Yichun City,230700,2017,Heilongjiang Province,1481757,74585,0.05033551
Yichun City,230700,2018,Heilongjiang Province,1566785,72629,0.04635543
Yichun City,230700,2019,Heilongjiang Province,1750626,130125,0.07433055
Yichun City,230700,2020,Heilongjiang Province,1985662,163483,0.08233174
Yichun City,230700,2021,Heilongjiang Province,1894161,181258,0.09569303
Jiamusi City,230800,2003,Heilongjiang Province,219179,44762,0.20422577
Jiamusi City,230800,2004,Heilongjiang Province,248897,52503,0.21094268
Jiamusi City,230800,2005,Heilongjiang Province,309793,59787,0.19299016
Jiamusi City,230800,2006,Heilongjiang Province,421573,82120,0.19479426
Jiamusi City,230800,2007,Heilongjiang Province,548221,107584,0.19624203
Jiamusi City,230800,2008,Heilongjiang Province,706831,138744,0.1962902
Jiamusi City,230800,2009,Heilongjiang Province,884835,150700,0.17031424
Jiamusi City,230800,2010,Heilongjiang Province,1218078,165208,0.13563007
Jiamusi City,230800,2011,Heilongjiang Province,1422991,225941,0.15877894
Jiamusi City,230800,2012,Heilongjiang Province,1606535,323067,0.20109553
Jiamusi City,230800,2013,Heilongjiang Province,1993135,320383,0.16074325
Jiamusi City,230800,2014,Heilongjiang Province,1875138,266619,0.14218634
Jiamusi City,230800,2015,Heilongjiang Province,2120733,246833,0.11639042
Jiamusi City,230800,2016,Heilongjiang Province,2362182,243810,0.10321389
Jiamusi City,230800,2017,Heilongjiang Province,2742664,270632,0.09867487
Jiamusi City,230800,2018,Heilongjiang Province,2727936,262742,0.09631531
Jiamusi City,230800,2019,Heilongjiang Province,2979246,278840,0.09359415
Jiamusi City,230800,2020,Heilongjiang Province,3417891,278928,0.08160822
Jiamusi City,230800,2021,Heilongjiang Province,3366057,286833,0.08521335
Qitaihe City,230900,2003,Heilongjiang Province,72104,12961,0.17975424
Qitaihe City,230900,2004,Heilongjiang Province,88517,14409,0.16278229
Qitaihe City,230900,2005,Heilongjiang Province,124123,21470,0.17297358
Qitaihe City,230900,2006,Heilongjiang Province,179438,28649,0.1596596
Qitaihe City,230900,2007,Heilongjiang Province,200779,41255,0.20547468
Qitaihe City,230900,2008,Heilongjiang Province,312934,55826,0.17839544
Qitaihe City,230900,2009,Heilongjiang Province,427139,59273,0.13876747
Qitaihe City,230900,2010,Heilongjiang Province,485104,73002,0.15048732
Qitaihe City,230900,2011,Heilongjiang Province,579644,82766,0.14278764
Qitaihe City,230900,2012,Heilongjiang Province,608579,110818,0.18209304
Qitaihe City,230900,2013,Heilongjiang Province,631117,78320,0.12409743
Qitaihe City,230900,2014,Heilongjiang Province,620773,81311,0.13098347
Qitaihe City,230900,2015,Heilongjiang Province,724605,87098,0.12020066
Qitaihe City,230900,2016,Heilongjiang Province,916832,86570,0.09442297
Qitaihe City,230900,2017,Heilongjiang Province,882841,78284,0.08867282
Qitaihe City,230900,2018,Heilongjiang Province,942751,85621,0.09082038
Qitaihe City,230900,2019,Heilongjiang Province,1365975,86265,0.06315269
Qitaihe City,230900,2020,Heilongjiang Province,1250084,104741,0.08378717
Qitaihe City,230900,2021,Heilongjiang Province,848744,100947,0.11893692
Mudanjiang City,231000,2003,Heilongjiang Province,248774,46319,0.18618907
Mudanjiang City,231000,2004,Heilongjiang Province,288221,51997,0.1804067
Mudanjiang City,231000,2005,Heilongjiang Province,373975,58282,0.15584464
Mudanjiang City,231000,2006,Heilongjiang Province,421233,72970,0.17322954
Mudanjiang City,231000,2007,Heilongjiang Province,590641,112414,0.19032543
Mudanjiang City,231000,2008,Heilongjiang Province,752642,140611,0.18682322
Mudanjiang City,231000,2009,Heilongjiang Province,1031683,151053,0.14641416
Mudanjiang City,231000,2010,Heilongjiang Province,1360930,163839,0.12038753
Mudanjiang City,231000,2011,Heilongjiang Province,1628952,203931,0.12519153
Mudanjiang City,231000,2012,Heilongjiang Province,1828599,348996,0.19085431
Mudanjiang City,231000,2013,Heilongjiang Province,2213267,349724,0.15801257
Mudanjiang City,231000,2014,Heilongjiang Province,2392674,321895,0.13453358
Mudanjiang City,231000,2015,Heilongjiang Province,2422337,331645,0.13691117
Mudanjiang City,231000,2016,Heilongjiang Province,2590112,348351,0.13449264
Mudanjiang City,231000,2017,Heilongjiang Province,2861515,323752,0.11314007
Mudanjiang City,231000,2018,Heilongjiang Province,2487441,253227,0.10180221
Mudanjiang City,231000,2019,Heilongjiang Province,2063561,253227,0.1227136
Mudanjiang City,231000,2020,Heilongjiang Province,2847941,305678,0.10733298
Mudanjiang City,231000,2021,Heilongjiang Province,2676642,296540,0.11078807
Heihe City,231100,2003,Heilongjiang Province,155529,29933,0.19245928
Heihe City,231100,2004,Heilongjiang Province,173113,31574,0.18238954
Heihe City,231100,2005,Heilongjiang Province,224879,34756,0.15455423
Heihe City,231100,2006,Heilongjiang Province,306930,45939,0.14967256
Heihe City,231100,2007,Heilongjiang Province,364151,71095,0.19523494
Heihe City,231100,2008,Heilongjiang Province,479263,100923,0.21057958
Heihe City,231100,2009,Heilongjiang Province,581778,103134,0.17727381
Heihe City,231100,2010,Heilongjiang Province,976076,127244,0.1303628
Heihe City,231100,2011,Heilongjiang Province,946359,135500,0.14318034
Heihe City,231100,2012,Heilongjiang Province,1088240,145412,0.13362126
Heihe City,231100,2013,Heilongjiang Province,1324897,188297,0.14212199
Heihe City,231100,2014,Heilongjiang Province,1413360,170519,0.12064796
Heihe City,231100,2015,Heilongjiang Province,1635623,167741,0.10255481
Heihe City,231100,2016,Heilongjiang Province,1703750,170002,0.09978107
Heihe City,231100,2017,Heilongjiang Province,2111364,174911,0.08284266
Heihe City,231100,2018,Heilongjiang Province,2140881,182009,0.08501594
Heihe City,231100,2019,Heilongjiang Province,2232248,198010,0.0887043
Heihe City,231100,2020,Heilongjiang Province,2563837,206986,0.0807329
Heihe City,231100,2021,Heilongjiang Province,2604190,219543,0.08430376
Suihua City,231200,2003,Heilongjiang Province,305332,88683,0.29044777
Suihua City,231200,2004,Heilongjiang Province,369218,100771,0.2729309
Suihua City,231200,2005,Heilongjiang Province,459202,120742,0.26293875
Suihua City,231200,2006,Heilongjiang Province,590027,139180,0.23588751
Suihua City,231200,2007,Heilongjiang Province,784566,206322,0.26297596
Suihua City,231200,2008,Heilongjiang Province,1105946,268906,0.24314569
Suihua City,231200,2009,Heilongjiang Province,1252925,245633,0.19604765
Suihua City,231200,2010,Heilongjiang Province,1879264,262555,0.13971161
Suihua City,231200,2011,Heilongjiang Province,1985429,301064,0.15163675
Suihua City,231200,2012,Heilongjiang Province,2545405,557295,0.21894158
Suihua City,231200,2013,Heilongjiang Province,2757084,474400,0.17206585
Suihua City,231200,2014,Heilongjiang Province,2902292,429050,0.14783144
Suihua City,231200,2015,Heilongjiang Province,3330592,563709,0.16925189
Suihua City,231200,2016,Heilongjiang Province,3798551,575328,0.15145986
Suihua City,231200,2017,Heilongjiang Province,4178408,617029,0.14767084
Suihua City,231200,2018,Heilongjiang Province,4235636,604712,0.1427677
Suihua City,231200,2019,Heilongjiang Province,4709672,580486,0.12325402
Suihua City,231200,2020,Heilongjiang Province,5056660,589653,0.11660918
Suihua City,231200,2021,Heilongjiang Province,3927647,506275,0.12890033
Shanghai,310000,2003,Shanghai,11026424,1313724,0.11914325
Shanghai,310000,2004,Shanghai,13956900,1553500,0.11130695
Shanghai,310000,2005,Shanghai,16463372,1829415,0.11112031
Shanghai,310000,2006,Shanghai,17955660,2054600,0.11442631
Shanghai,310000,2007,Shanghai,21816780,2833335,0.12986953
Shanghai,310000,2008,Shanghai,25939162,3260627,0.12570287
Shanghai,310000,2009,Shanghai,29896500,3469520,0.11605104
Shanghai,310000,2010,Shanghai,33028860,4172775,0.12633724
Shanghai,310000,2011,Shanghai,39148820,5492393,0.14029524
Shanghai,310000,2012,Shanghai,41840170,6489517,0.15510255
Shanghai,310000,2013,Shanghai,45286106,6795414,0.15005516
Shanghai,310000,2014,Shanghai,49234377,6955284,0.14126885
Shanghai,310000,2015,Shanghai,61915601,7673169,0.12392949
Shanghai,310000,2016,Shanghai,69189405,8409686,0.12154586
Shanghai,310000,2017,Shanghai,75476205,8741040,0.11581186
Shanghai,310000,2018,Shanghai,83515363,9179869,0.10991833
Shanghai,310000,2019,Shanghai,81792842,9956956,0.12173383
Shanghai,310000,2020,Shanghai,81021120,10005937,0.12349789
Shanghai,310000,2021,Shanghai,84308562,10394696,0.12329348
Nanjing City,320100,2003,Jiangsu Province,1552782,178593,0.11501486
Nanjing City,320100,2004,Jiangsu Province,1916750,210982,0.11007278
Nanjing City,320100,2005,Jiangsu Province,2313519,244016,0.10547396
Nanjing City,320100,2006,Jiangsu Province,2624614,285549,0.10879657
Nanjing City,320100,2007,Jiangsu Province,3429386,455235,0.13274534
Nanjing City,320100,2008,Jiangsu Province,4046656,580700,0.1435012
Nanjing City,320100,2009,Jiangsu Province,4612662,640703,0.13890092
Nanjing City,320100,2010,Jiangsu Province,5421812,764951,0.1410877
Nanjing City,320100,2011,Jiangsu Province,6662056,952995,0.14304818
Nanjing City,320100,2012,Jiangsu Province,7696569,1249855,0.16239119
Nanjing City,320100,2013,Jiangsu Province,8509085,1258890,0.14794658
Nanjing City,320100,2014,Jiangsu Province,9212047,1368787,0.14858663
Nanjing City,320100,2015,Jiangsu Province,10455700,1781700,0.17040466
Nanjing City,320100,2016,Jiangsu Province,11738400,2028600,0.17281742
Nanjing City,320100,2017,Jiangsu Province,13540873,2178419,0.16087729
Nanjing City,320100,2018,Jiangsu Province,15327156,2530631,0.16510767
Nanjing City,320100,2019,Jiangsu Province,16580700,2890500,0.17432919
Nanjing City,320100,2020,Jiangsu Province,17546190,3062752,0.17455368
Nanjing City,320100,2021,Jiangsu Province,18177281,3226752,0.17751566
Wuxi City,320200,2003,Jiangsu Province,1093581,166213,0.15198966
Wuxi City,320200,2004,Jiangsu Province,1431023,210100,0.14681805
Wuxi City,320200,2005,Jiangsu Province,1828869,250216,0.13681461
Wuxi City,320200,2006,Jiangsu Province,2133988,303196,0.14207952
Wuxi City,320200,2007,Jiangsu Province,2708203,449236,0.16587974
Wuxi City,320200,2008,Jiangsu Province,3389831,526561,0.15533547
Wuxi City,320200,2009,Jiangsu Province,4056142,644921,0.15899862
Wuxi City,320200,2010,Jiangsu Province,4886822,823241,0.16846143
Wuxi City,320200,2011,Jiangsu Province,5926717,1028868,0.1735983
Wuxi City,320200,2012,Jiangsu Province,6486133,1158914,0.17867565
Wuxi City,320200,2013,Jiangsu Province,7114926,1212757,0.17045251
Wuxi City,320200,2014,Jiangsu Province,7480571,1130273,0.15109448
Wuxi City,320200,2015,Jiangsu Province,8218600,1264600,0.15387049
Wuxi City,320200,2016,Jiangsu Province,8673600,1373400,0.15834256
Wuxi City,320200,2017,Jiangsu Province,9876625,1536353,0.15555445
Wuxi City,320200,2018,Jiangsu Province,10559376,1667250,0.15789285
Wuxi City,320200,2019,Jiangsu Province,11175200,1782000,0.15946023
Wuxi City,320200,2020,Jiangsu Province,12150337,2032688,0.16729478
Wuxi City,320200,2021,Jiangsu Province,13577935,2168942,0.1597402
Xuzhou,320300,2003,Jiangsu Province,552229,113978,0.20639626
Xuzhou,320300,2004,Jiangsu Province,669813,132674,0.19807618
Xuzhou,320300,2005,Jiangsu Province,881967,169914,0.19265347
Xuzhou,320300,2006,Jiangsu Province,1073117,201336,0.18761794
Xuzhou,320300,2007,Jiangsu Province,1474369,359331,0.2437185
Xuzhou,320300,2008,Jiangsu Province,1990464,441629,0.22187239
Xuzhou,320300,2009,Jiangsu Province,2565349,506643,0.19749477
Xuzhou,320300,2010,Jiangsu Province,3257198,612446,0.18802848
Xuzhou,320300,2011,Jiangsu Province,4542420,901656,0.19849684
Xuzhou,320300,2012,Jiangsu Province,5300461,1115873,0.21052376
Xuzhou,320300,2013,Jiangsu Province,5956105,1217155,0.20435419
Xuzhou,320300,2014,Jiangsu Province,6618386,1319474,0.19936492
Xuzhou,320300,2015,Jiangsu Province,7524600,1523500,0.20246923
Xuzhou,320300,2016,Jiangsu Province,7979900,1653300,0.20718305
Xuzhou,320300,2017,Jiangsu Province,8273338,1739880,0.21029964
Xuzhou,320300,2018,Jiangsu Province,8808594,1703868,0.19343246
Xuzhou,320300,2019,Jiangsu Province,8822100,1789600,0.2028542
Xuzhou,320300,2020,Jiangsu Province,9581879,1940822,0.2025513
Xuzhou,320300,2021,Jiangsu Province,10043962,2106185,0.20969663
Changzhou City,320400,2003,Jiangsu Province,630490,94524,0.14992149
Changzhou City,320400,2004,Jiangsu Province,756627,113685,0.15025237
Changzhou City,320400,2005,Jiangsu Province,978458,137403,0.1404281
Changzhou City,320400,2006,Jiangsu Province,1176965,147711,0.12550161
Changzhou City,320400,2007,Jiangsu Province,1546367,247345,0.15995233
Changzhou City,320400,2008,Jiangsu Province,1866796,280154,0.1500721
Changzhou City,320400,2009,Jiangsu Province,2187465,352349,0.16107641
Changzhou City,320400,2010,Jiangsu Province,2814401,406161,0.14431526
Changzhou City,320400,2011,Jiangsu Province,3618123,549170,0.15178312
Changzhou City,320400,2012,Jiangsu Province,3912183,661143,0.16899593
Changzhou City,320400,2013,Jiangsu Province,4179007,665415,0.15922802
Changzhou City,320400,2014,Jiangsu Province,4349289,682014,0.15681046
Changzhou City,320400,2015,Jiangsu Province,4853300,792100,0.16320854
Changzhou City,320400,2016,Jiangsu Province,5081100,836900,0.16470843
Changzhou City,320400,2017,Jiangsu Province,5515534,978778,0.17745843
Changzhou City,320400,2018,Jiangsu Province,5948173,1036131,0.17419315
Changzhou City,320400,2019,Jiangsu Province,6541900,1067200,0.16313303
Changzhou City,320400,2020,Jiangsu Province,7263132,1276041,0.17568743
Changzhou City,320400,2021,Jiangsu Province,7718932,1360615,0.17626985
